,事件 incident,日期Date,搜索关键词,标题,来源,用户属性,Tag ,URL,转赞评 ,微博内容摘要,评论区发言（related to research question),,
,武汉大学学生故意伤害事件,2025-06-04,故意伤害,警方通报武汉大学伤人事件​​​,极目新闻,新闻媒体 ,#武大伤人男生因学业不顺问题行凶# ,https://weibo.com/1720962692/Pvj5Wu01X,,​​​据@平安洪山 ：4日17时许，辖区武汉大学某食堂内发生一起故意伤害案件。民警迅速赶赴现场处置，会同学校、120急救等部门将3名伤者及时送医治疗。目前，伤者均无生命危险。犯罪嫌疑人朱某（男，23岁，该校学生）被警方当场控制。经审查，朱某因学业不顺问题行凶，其对犯罪事实供认不讳，已被采取刑事强制措施。案件正在进一步侦办中。,"学业不顺是伤人的理由吗（935）
学业压力再大也不能走极端呀，希望大家重视心理健康，遇到难题多求助，愿伤者早日康复 。（289）
",,
,,,,警方通报武汉大学伤人事件 ​,C科技,个人博主,,https://weibo.com/1823630913/PvjrDpWms,,看来人渣哪里都有，自己学业不顺，在学校食堂伤人，导致三人受伤！这下得吃牢饭了,"都上武汉大学了，学业有啥不顺的，心态还是要放平，这样搞得前途都毁了 （2）
回复：他应该是已经拿不到双证了才破防的


加强管理吧
回复：怎么管理，想砍人的提前跟导员报备先加一副银镯子？[允悲]",,
,,,,警方通报武汉大学伤人事件,观察者网,新闻媒体 ,#警方通报武汉大学伤人事件# ,https://weibo.com/1887344341/PvjlIFhiN,,学生朱某因学业不顺问题行凶，伤者均无生命危险,"“学业不顺也是理由能轻判的话 那生活不顺就……”（21）
“任何时候都不该用暴力解决问题，故意伤人既伤他人身体，也毁自己人生，克制冲动、敬畏法律才是对自己和他人的负责。”
“具体是什么 学业不顺啊，这新闻说的模模糊糊的” （1）
",,
,上海地铁持刀伤人事件,2024-06-19,地铁 公共安全,警方通报：#上海地铁发生持刀伤人案3人受伤#,Vista看天下,新闻媒体 ,"#上海地铁持刀伤人嫌犯被抓获# 
#上海地铁发生持刀伤人案3人受伤#",https://weibo.com/1323527941/OjGxEcJgF,56转 201赞 757评,上海市公安局城市轨道和公交总队通报：2024年6月19日8时28分，轨交9号线合川路站内发生一起持刀伤人案件。民警接报后迅速到场，将3名受伤人员送医治疗。目前，犯罪嫌疑人沈某（男，54岁）已被警方抓获，案件正在进一步侦办中。,"知道安检的重要性了吧，谁那几天说安检不好，怎么滴，建议加严安检。
回复：狗屁，这种安检，拦住的都是受害者。如果普通人手里有刀🔪，那双方还能对峙，现在嘛，乖乖的挨捅吧。毕竟大家都是普通人，很少有人学过空手夺白刃。 而凶手嘛，一把长刀，只有不超过1米，都能塞进裤腰带里带进地铁，毕竟地铁安检又不察身上的

回复： 安检都严到这样了，想犯罪的该有刀不还是有刀么。
回复： 是重要，但总不至于在大街上也安检吧，总不至于禁止用菜刀做饭做菜吧，要是允许持枪呢，是不是就乱套了，要不你倒贴几千块钱做个大街上的安检员吧，泥这个底层的掰嗤，泥流星个几担渍呢",评论大部分在吵架，因为案情报道说的不太清楚，很多人以为嫌疑人是在地铁口站内捅人，其实是在地铁口外。,
,,,,#上海地铁持刀伤人嫌犯被抓获#,蔡雅奇刑法,个人博主,"#上海地铁持刀伤人嫌犯被抓获#
#实务案例看一看# ​​​",https://weibo.com/1824015157/OjGPu5w2f,5转 13赞 36评,这种案件的官方通报都是“伤人”“持刀伤人”“重大刑案”，其实罪名是故意杀人罪。,"“54岁了，如果没有精神疾病的话，持刀故意杀人，太吓人了。”
“管制类器具分类以及认定标准的外延也会被进一步扩大。”
“杀包含了伤，毕竟还是初步了解，这么说是比较妥当的”",,
,,,,无,喵星人Henry,个人博主,#上海地铁发生持刀伤人案3人受伤##上海地铁持刀伤人嫌犯被抓获# ​​​,https://weibo.com/7791867655/OjGzXnHqd,23转 158评 602赞,"上海地铁合川路站内发生一起持刀伤人案件。3人受伤。

这个刀是怎么带进去的呀？？地铁不都要安检[笑cry]

这个老头这下好了，晚年有着落了","“现在地铁检查简直就是忽悠，大包安检，小包打开看一下，结果人一多，大部分人包包根本不过安检，背着就进去了”
“上海地铁安检不严的，高峰期更加不严。背个小包的，不过机器也行，拉开来象征性看看”",,
,长春市宽城区持刀伤人案,2023-06-01,火车站 公共安全,长春市宽城区持刀伤人案告破,长春公安,其他（官方通报）,无,https://weibo.com/3259204927/F2oznsgV3?refer_flag=1001030103_,144转 2评 164赞," 5月9日19时42分，长春市宽城区国际商业中心附近发生一起持刀伤人案件，犯罪嫌疑人王运维（男，1966年出生，农安县人）持刀将18名过路行人扎伤。长春市公安局宽城分局巡逻民警及时赶到现场，果断开枪将其击伤后抓获。受伤群众均被送往医院救治，无生命危险。
       据犯罪嫌疑人王运维的家人称，王运维曾因患精神疾病到医院就诊。目前，此案正在进一步调查中。",,,
,,,,【吉林检察机关批捕长春火车站持刀伤人案嫌疑人】,最高人民检察院,其他（官方通报）,无,https://weibo.com/5053469079/F5bqawJc7,66转 39评 63赞,日前，吉林省长春市宽城区检察院以涉嫌故意杀人罪批捕长春火车站砍伤14人案件的犯罪嫌疑人王运维。5月9日19时42分许，在长春市宽城区汉口大街上，发生一起恶性持刀伤人事件，造成14名路人受到不同程度伤害，犯罪嫌疑人被当场抓获。,,,
,,,,连捅26人被判死缓！2017年长春火车站前持刀伤人案一审审结！,长春太威武,个人博主,#长春爆料# ,https://weibo.com/1558725752/Hx0KJwVS3?refer_flag=1001030103_,0转 9评 12赞,"“2017年5月9日19时40分许，被告人王运维在吉林省长春市宽城区长春国际商业中心门前，汉口大街、长春站前公交转换站附近用尖刀陆续将被害人赵某、吉某、黄某、王某等26人扎伤，后被接到报警赶来的公安人员当场抓获……”

时隔两年，那起发生在长春火车站前的持刀伤人事件已经淡出人们的记忆。近日，长春市人民检察院公开发布的一份起诉书，让这起案件重新回到我们的视线。","一个精神病啥都解决了
回复： 那也不是说是就是啊  需要鉴定的  确实有。

不知道是不是咱们国家的法律程序这样啊啊！还是都这样？事实已经明了了，两年多才有了大家都不是特别满意的结果，这犯罪成本也太低了

迷一样的死缓",,
,,,,吉林长春：批捕长春火车站持刀伤人案嫌疑人,长春小满,新闻媒体 ,#长春身边事#,https://weibo.com/2026873597/F5c55kH36?refer_flag=1001030103_,3转 8评 13赞,2017年5月9日19时42分许，在长春市宽城区汉口大街上，发生一起恶性持刀伤人事件，造成14名路人受到不同程度伤害，部分被害人身受重伤，一度危及生命，案发后犯罪嫌疑人王运维被巡逻民警当场抓获。该案发生后，被演绎成各种版本在网络上广泛传播，一度引发民众恐慌。对此，长春市宽城区检察院迅速启动提前介入机制，指派检察官在第一时间了解案件情况，在证据的收集、固定等方面指导公安机关展开侦查，就案件的定性与法律适用等问题与公安机关进行深入分析，着重提示办案人员尽快对犯罪嫌疑人进行司法精神病学鉴定，对其是否具有刑事责任能力进行准确评定。经吉林省公安厅安康医院司法鉴定中心鉴定：犯罪嫌疑人王运维患有癔症性精神障碍，属于限制刑事责任能力，应当承担刑事责任。,"干得漂亮！这种危害社会的人绝对不能姑息！

就应该让他承担刑事责任！

精神病也是人吧，犯罪就应该承担责任！

看审讯他的那个短视频了嘛？政府给他免费看病，各方之前也都帮助他，就这么回报社会，在看他答那几句话，那杀都杀了能怎么办？一副无赖样，活不起的表现",,
,湖南故意伤害案,2024-05-20,故意伤害案,湖南发生故意伤害案致2死3伤,翻滚的小肉肉,个人博主,#湖南发生故意伤害案致2死3伤#,https://weibo.com/6238911936/PE90S6lB9,1转 7评 25赞,2025年8月3日18时许，湖南省耒阳市蔡子池街道辖区发生故意伤害案件，共造成2人死亡、3人受伤。什么仇什么怨，以至于发生命案，大家能不能情绪稳点些。,,,
,,,,湖南发生故意伤害案致2死3伤,爱笑的人很加分,个人博主,#湖南发生故意伤害案致2死3伤#,https://weibo.com/5733335063/PEetWl05I,42转 132评 1272赞,"2025年8月3日18时许，湖南省耒阳市蔡子池街道辖区发生一起故意伤害案件，造成2人死亡、3人受伤。嫌疑人段某超（男，31岁）已被抓获。

事发地点在耒阳若兰小学门口附近，一名三十岁左右的男子持刀伤人，他从路口冲进来，手上拿了一把刀砍人，冲进麻将馆砍。目前，伤员均已送医救治，暂无生命危险，善后处置、案件侦办等工作正在全力进行中。","精神病？能不能判死刑？精神病免责这个事我是一直不理解的

回复：什么逻辑啊，就这样吧，话不投机半句多🤷‍♂️
回复：这好办，让精神病人给他执行死刑
回复：“太阳之所以能升起全靠公鸡打鸣”是吧？好吧，请便😔
回复：法制在不断推动和完善的，群众的呼声可以推动这个过程。
回复：专业的事就让专业的人去做呗，人要有自知之明，知道自己会什么不会什么😔
回复：那就好好讨论关于这种有可能造成高危行为的精神病的管制问题吧。想要免责，那就做好限制。
回复：我也是说，以前看的山上的熊如果吃人了都一定要杀掉，精神病既然已经控制不住自己攻击别人了，为啥不能死刑，就当让正常的他解脱了呗
回复：不太像丧失了辨认能力，他还会选小孩。
回复：看看露思，精神疾病，不就是金牌。这还带动这类病，以后想怎么样就怎么样。热搜越来越魔性。而且特意选择来压这新闻，巧的也是昨天她折腾，晚上六点就出事，不知道凶手是不是也爱冲浪。
回复：精神病杀了人不更应该处死别再祸害正常人了吗？
回复：不是精神病
回复：为了跟西方接轨搞得精神病免责
回复：还有未成年不担责！也要改！！！！！！无论犯罪分子，有没有病，是否成年，都应该按他的罪行来判罪！！！！！！
回复：很多犯案的时候根本没发病，就是单纯的自己不好过报复社会而已，因为它自己是个没用的废物深井冰
回复：精神不正常他知道不去砍壮汉知道自己干不过 脑子清醒的知道要去砍小孩是吧
回复：一个精神病，还有一个未成年，真的是两大免死金牌
回复：用正常人的思维逻辑去强行探究不正常人的言行举止，这本身就是一种不正常。
回复：是的不是看女士就是小孩
回复：不是精神病吧，杀了人还知道回家换衣服呢
回复：不砍大汉，砍手无缚鸡之力小孩
回复：因为精神病发病的时候是不可控的，完全丧失辨认或控制能力",这个评论区有很多我觉得对RQ比较有用的data，有点长，目前不确定嫌疑人是否有精神疾病。新闻报道里没有指向。,
,,,,无,萤火虫在线,个人博主,#湖南耒阳男子持刀造成2死3伤##湖南2死3伤故意伤害案嫌疑人被抓获##热点观点#,https://weibo.com/6026921854/PEePreu4X,7转 59评 128赞,此案暴露出的公共安全风险与心理干预缺失问题，亟待社会多方协同解决。当地居民强烈谴责针对弱者的暴行，要求严惩凶手。教育部门已通知暂停暑期补习，部分家长因心理阴影带孩子离开事发地。事件引发对“社会戾气”和极端犯罪防范的讨论，舆论呼吁加强公共安全及心理健康干预机制。愿逝者安息，伤者早日康复,,,
,湖北恩施涉校刑事案件,2023-09-15,小学伤人,湖北恩施涉校刑事案件：8名学生死亡，案件嫌犯曾捅女友40多刀，去年出狱…,北京人不知道的事儿,个人博主,无,https://weibo.com/1662214194/I5cFPmeKb,1085转 1037评论 6032赞,9月2日8时许，恩施市朝阳坡村发生一起涉校刑事案件，致8名学生死亡、2名学生受伤。犯罪嫌疑人于某被恩施警方现场抓获。初步查明，犯罪嫌疑人于某系本地人，男，40岁，未婚，此前曾因感情问题捅女友40多刀，涉故意杀人（未遂）被判9年，其间获减刑一次，实际服刑8年多，去年出狱。,"这样极端危险分子捅40刀，判9年，应该终生无期徒刑，现在放出来，出大事了！中国的法律还是要尽可能细化，针对极端危险人士，一定要顶格上限从重！

当时这个负责判刑9年的法官，请问你看到这条新闻做何感想


当初只判九年就欠考虑。杀人也得分作案动机、手段和被害者伤情考虑。就因为被害者还没断气就判未遂，她被捅了几十刀据说还被挖掉眼镜，就因为还剩一口气就判未遂这也也太说不过去了，没准凶手就想让被害人生不如死呢。",,
,,,,【湖北恩施一小学发生伤人事件 10名学生受伤】,观察者网,新闻媒体 ,无,https://weibo.com/1887344341/I53EHraz2,93转 277评论 1648赞,"据中国硒都网消息，今日8时许，湖北省恩施市白杨坪镇朝阳坡小学发生一起伤人事件。初步了解，有10名学生受伤，伤势正在进一步核实中，受伤学生已送往医院救治。
州市领导高度重视，恩施市政法委、市公安局、市教育局、市卫健局及白杨坪镇等单位正在现场处置，嫌疑人已被公安机关控制。",自己过得不如意，请安安静静的去结束,评论区评论并不significant,
,,,,【死刑！湖北恩施伤害小学生致8死案罪犯今日执行】,中国长安网,新闻媒体 ,无,https://weibo.com/5617030362/ImKOQ2SoW,108转 103评论 333赞,12月27日，湖北省恩施土家族苗族自治州中级人民法院遵照最高人民法院下发的执行死刑命令，对在恩施市白杨坪镇朝阳坡小学杀害学生的罪犯于华执行死刑。9月2日8时许，恩施市朝阳坡村发生一起涉校刑事案件，致8名学生死亡、2名学生受伤。犯罪嫌疑人于某系朝阳坡本地人，男，40岁，未婚。,"惩罚不可饶恕之罪，便是死刑存在的意义

愿这样骇人听闻的案件永不再有！",,
,,,,【湖北恩施一#男子闯小学砍伤10名学生# 附近居民：行凶者刚刑满释放】,法制日报,新闻媒体 ,#男子闯小学砍伤10名学生# ,https://weibo.com/2087169013/I55wjtrUT?pagetype=detail,84赞 207评论 608赞,9月2日8时许，湖北省恩施市白杨坪镇朝阳坡小学发生一起伤人事件。初步了解，有10名学生受伤，伤势正在进一步核实中，受伤学生已送往医院救治。目前，嫌疑人已被公安机关控制，案件进一步调查中。附近居民称该男子刚刚刑满释放。,"建议修改部分刑法，不能让那些犯了罪出来的人，觉得监狱里是个舒服的地方。去矿山砸石头啥的，就像以前集中营里的那样，让他们知道什么叫惩罚[摊手][摊手][摊手]不然他们出来觉得还不如监狱里只想着再搞事情进去，祸害了无辜的人。
回复： 你以为是以前？不懂就别bb了，显得很无知懂吗？那为啥取消劳改制度，死刑犯遗体强制捐献，以及慎用死刑和诸多犯罪取消死刑上限，中国不是朝鲜，与世界接轨这是必然的。
回复：中国为了加入世卫，与世界接轨，不惜把其他国家的垃圾往国内运，后来腰板硬气了，直接拒收。不是国际上所有的东西都适合中国，资本家的民主都是泡沫。苏联那一套当年在国内也不适合，中特为什么叫中特，那是因为只有中国才有的。有些东西还没改回我们自己的模式，那是因为时机还不够。

“行凶者刚刑满释放”。建议修改刑法了，有些暴徒，限制减刑。因为法律既然改造不好他，就让他长久的待在里面吧。伤害学生，又一次伤害了人们的底线了。
",,
,,,,无,何老师看电影,个人博主,#湖北恩施发生涉校刑事案件# ,https://weibo.com/2533150493/I58To88jW?refer_flag=1001030103_,364赞 537评论 3358赞,湖北恩施一男子闯小学砍伤10名学生，附近居民：行凶者刚刑满释放。半夜看到这个，真的很痛心，想到现在的一些中小学，门卫警都是大爷们看着！虽然门卫亭上面挂着警室牌子，但很少有安保人员常在！这个一定要加强管理啊,"这种反社会人格的人太恐怖了

回复：拿小学生撒气，真心不是君子
回复：可别侮辱君子
回复：这已经是泯灭人性的魔鬼了好吗，还什么君子。。。
回复：就是存在严重的心理问题
回复：坐牢哪里像电视剧那样出来悔过自新，只会让人变的更可怕，别问我怎么知道的，身有体会，思想变的更扭曲，毕竟坐牢都没什么好人。我老公哥哥坐牢8个月出来，根本没变化，反而性格更吓人，我真的要远离，都准备搬家了，最近做出来的事让人害怕",,
,广西梧州旺甫小学保安持刀伤人,2020-06-04,小学伤人,广西一小学保安持刀砍伤多人,中国新闻网,新闻媒体 ,#广西一小学保安持刀砍伤多人# #广西苍梧通报小学门卫砍人事件#,https://weibo.com/1784473157/J54msDEoB?refer_flag=1001030103_,114赞 327评论 1156赞,广西梧州市苍梧县官方4日通报，当日上午8时30分，在苍梧县旺甫中心小学发生一起持刀伤人事件。事件导致39人受伤，其中2人伤势稍重，伤者已全部送往医院救治，无生命危险。经初步核查，受伤人数39人，其中学生37人轻微伤，成人2人伤势稍重，已全部送往医院救治，无生命危险。据了解，持刀伤人者系一名李姓保安，男性，年龄约50岁，目前该名保安已被控制。,"无论生活怎么对不起你，但这些孩子并没有错。
回复：这个就是报复社会
回复：都是学前班的孩子啊
回复：无差别攻击事件背后一定有深层次原因
回复：不管有什么前因后果，都不应该是这样的结果
回复：他经历了苦难，就应该让无辜的人也经历苦难？不想活就自己死去，为什么非得拉无辜的人垫背？
回复：孩子得罪他了？？
回复：不了解前因后果，不轻易下评论。


不会又是精神病吧？

保安？？？砍人？？是精神不正常还是什么因素",这个评论区有很多我觉得对RQ比较有用的data,
,,,,广西一小学保安持刀砍伤多人,人民日报,新闻媒体 ,#广西苍梧通报小学门卫砍人事件#【#广西梧州一小学门卫砍伤多人#,https://weibo.com/2803301701/J54i5b3Jj?refer_flag=1001030103_,1210转 1520评论 1.5万赞,"4日上午，广西梧州市苍梧县旺甫镇一小学发生砍人事件，多名学生被砍伤，伤者已被送往当地卫生院救治，嫌疑人已被警方控制。
据当地通报，约在当天上午8:30分旺甫镇中心小学校内发生一名保安持刀砍伤多名学生和教职工重大突发事件。接到通知后，相关人员立即赶赴现场开展救援工作。据现场初步统计，受伤学生和教职工约有40名，其中重伤3人，分别为旺小校长、另一名保安、一名学生。当时已立即组织受伤人员到旺甫镇卫生院进行初步止血包扎，截至目前，已联系由市人民医院、工人医院、红会医院派出共8辆救护车将受伤的学生和教职工护送到市区医院进行救治，已联系上的部分受伤学生的家长陪同到医院。
据了解，持刀伤人保安叫李小民（口述）, 男性，年龄约50岁，目前该名保安已被控制。进一步情况待续报。","不想知道背后故事，只想尽快解决事情，孩子恢复健康

这种人应该死刑 出来了还是会祸害别人

冤有头债有主，谁是你的主找谁去，不要伤害无辜的人和学生。希望牢底坐穿，别让这种神经病出来祸害人家了。",这个评论区有很多我觉得对RQ比较有用的data,
,,,,梧州中院对苍梧县旺甫镇中心小学持刀伤人案李小文被判死刑,三联生活周刊,新闻媒体 ,#广西小学持刀伤人案嫌犯被判死刑#,https://weibo.com/1191965271/JjGXgrvEB?refer_flag=1001030103_,8转 32评论 223赞,9月8日，梧州市中级人民法院对苍梧县旺甫镇中心小学持刀伤人案进行一审宣判，以被告人李小文犯故意杀人罪，判处死刑，剥夺政治权利终身。梧州市中级人民法院经审理认为，被告人李小文为泄私愤，在校园内肆意持刀砍杀多名师生，故意非法剥夺他人生命，其行为已触犯《中华人民共和国刑法》第二百三十二条之规定，构成故意杀人罪。李小文犯罪动机极其卑劣，犯罪情节极其严重，手段特别残暴，社会危害、影响极大，依法应予严惩。（“梧州中院”微信公众号）,"判的好，对弱者下死手的不配留在阳间

在拍手喝采之前 我們希望見到事件的完整報告 包括雙方的陳述辯解 而不只是簡單的通報 就評論是非",,
,,,,广西一小学保安砍伤40人,光明日报,新闻媒体 ,#广西一小学保安砍伤40人#,https://weibo.com/1402977920/J543fjlKg?refer_flag=1001030103_,28转 61评论 110赞,上午，广西梧州市苍梧县旺甫镇中心小学发生一名保安持刀砍伤40名学生和教职工的事件，其中重伤3人，分别为小学校长、另一名保安、一名学生，已送医救治。砍人保安姓李，约50岁，目前已被控制，案件正在调查中。（光明日报全媒体记者 周仕兴）,"有些人，仇恨社会，却只敢向没有还手之力的人发泄。真的是心理阴暗

本应该保护学生的人，坐牢去吧

保安的作案动机是什么，为什么要砍伤无辜的孩子？希望有关部门对此次事件详细调查严肃处理，将完整的事件及后续事件及时公布。",,
,,,,#广西梧州一小学发生砍人事件# 多名学生受伤,侠客岛,个人博主,#广西梧州一小学发生砍人事件#,https://weibo.com/5476386628/J53IBevju?refer_flag=1001030103_,474转 1282评论 4820赞,"今日上午，广西梧州市苍梧县旺甫镇一小学发生砍人事件。据现场初步统计,受伤学生和教职工约有40名，其中重伤3人，分别为旺小校长、另一名保安、一名学生。伤者已被送到市区医院进行救治。据了解，持刀伤人保安叫李小民(口述) , 男性，年龄约50岁,目前该名保安已被控制。","冤有头债有主 有纠纷 想玉石俱焚 也不该伤害无辜的孩子
回复： 心理有问题

天哪！干嘛要伤害孩子，天杀的，千刀万剐

不会又有精神病吧

回复：他只是说这种事大多数是精神病，并没说全部都是；也可能有反社会的人。
回复：现在精神病患者这么多，普通人根本无法分辨。
回复：行凶的时候没毛病（不认为是精神病）。
回复：反正心理不平衡就对了，正常人不干这种事。
回复：砍学生这种事，不是精神病真搞不出来。
回复：“借口”不是借口，是法律规定；但为什么要因此轻判、会不会被滥用？
回复：很多人上诉为免刑自称精神病，但查实后其实神智正常。
回复：只找弱小下手的更像“有意识挑软柿子捏”，不一定是精神病。
回复：精神病也不是总处于发病状态；理想情况应做背景调查和精神状态评估。
回复：现实里一些安保岗位门槛低、工资低、评估不足，心理筛查整体需要加强。
",,
,江西一男子幼儿园行凶,2022-08-03,幼儿园伤人,#江西一男子幼儿园行凶致3死6伤# ,环球时报,新闻媒体 ,#江西一男子幼儿园行凶致3死6伤# ,https://weibo.com/1974576991/LFj5ocFww?refer_flag=1001030103_,65转 149评论 666赞,据@安福发布 ：2022年8月3日10时22分，江西省吉安市安福县发生一起命案。一歹徒戴鸭舌帽及口罩持械窜至安福县城某私立幼儿园行凶伤人，造成3死6伤。经侦查，初步锁定犯罪嫌疑人刘某辉（男，48岁，安福县寮塘乡人）。目前，公安机关正在全力追捕犯罪嫌疑人。,"对无辜的小孩下手，必须死刑

这玩意，直接死刑，立即执行，就别给他多活一天",,
,,,,警方通报：江西吉安一幼儿园发生命案致3死6伤 江西幼儿园命案已锁定犯罪嫌疑人,百姓关注,新闻媒体 ,"#江西幼儿园命案已锁定犯罪嫌疑人#
#江西一歹徒幼儿园行凶致3死6伤#
#江西一男子幼儿园行凶致3死6伤#",https://weibo.com/1647210043/LFhwF6w0o?refer_flag=1001030103_,2606转 1万评 12.3万赞,8月3日上午10时许，江西吉安安福县一男子窜至某幼儿园，持械行凶，造成3死6伤。经过警方侦查，初步锁定犯罪嫌疑人刘某辉（男，48岁，安福县安福县寮塘乡人），截至3日下午14时，警方正在全力追捕犯罪嫌疑人。,"直接死刑吧！谢谢！其它不说了。

多少个家庭支离破碎",,
,,,,无,致我们,个人博主,#江西一男子幼儿园行凶致3死6伤# ,https://weibo.com/1909111815/LFhy71RM7?refer_flag=1001030103_,52转 225评 2661赞,"这样的新闻见一次心惊一次、见一次愤怒一次、见一次也心凉一次。人心都是肉长的，为什么总有人心如铁石、狠毒如斯？

面对纯真且柔弱，对这个世界充满美好向往的小孩子，举起手中的屠刀，于心何忍？

我始终觉得，对小孩子下手，什么精神有问题或者曾经受过其他刺激，都不能成为借口。

为什么他们选择幼儿园小孩子下手？很显然，在他们的心里有较为明确的认识：一是小孩子没有反抗能力；二是对小孩子下手，社会反响较大。

每一个受伤甚至死亡的孩子背后，都是一个或几个家庭长期难以愈合的伤痛。

为什么幼儿园砍人事件多次上演？为什么最需要防范的地方这么疏于防范？

我只想知道：我们做了什么？我们该怎么办？以后我们又将如何？

这是我的沉痛，也是我的困惑。","作为一个母亲，真的心非常痛了，该如何保护我们家人，孩子，自己？

幼儿园小学中学能不能别用便宜老头子做保安了！

如果是安福县zf没有正规手续强拆。带了几十号人，一边笑着看手下拖拽七八十岁老人。一边威胁老人的家人小孩。你们会不会觉得这种地方发生这种事情很正常。",,
,北京持刀伤人案致5伤,2024-10-28,持刀伤人,海淀警方通报持刀伤人案件：5人受伤其中3人未成年，无生命危险,ETtoday新闻云,新闻媒体 ,"#北京被持刀刺伤5人无生命危险#

#北京发生一起持刀伤人案致5伤#",https://weibo.com/2342024544/ODEzc89gt?refer_flag=1001030103_,1转 6赞,2024年10月28日15时20分许，海淀区万泉庄路和万柳中路交叉口附近，发生一起持刀伤人案件，导致5名路人受伤，其中3名未成年人。犯罪嫌疑人唐某某(男，50岁)被当场控制，伤者及时送医治疗，无生命危险。目前，案件正在进一步调查中。（海淀公安）,,这个事件有三个新闻报道，而且是官方新闻报道，但热搜话题tag点进去被block，无评论,
,,,,警方通报：#北京发生一起持刀伤人案致5伤#，#北京刺伤三未成年人嫌疑人被当场控制#,北京广播电视台,新闻媒体 ,#海淀发生持刀伤人事件# ,https://weibo.com/6868583654/ODEtlbQ5F?refer_flag=1001030103_,1评,"刚刚，北京市公安局海淀分局发布通报：

10月28日15时20分许，海淀区万泉庄路和万柳中路交叉口附近，发生一起持刀伤人案件，导致5名路人受伤，其中3名未成年人。犯罪嫌疑人唐某某(男，50岁)被当场控制，伤者及时送医治疗，无生命危险。目前，案件正在进一步调查中。",,,
,,,,警方通报：#北京被持刀刺伤5人无生命危险#,北京市第一中级人民法院,其他（官方通报）,#北京发生一起持刀伤人案致5伤#,https://weibo.com/3820915614/ODExMgRza?refer_flag=1001030103_,1评 5赞,2024年10月28日15时20分许，海淀区万泉庄路和万柳中路交叉口附近，发生一起持刀伤人案件，导致5名路人受伤，其中3名未成年人。犯罪嫌疑人唐某某(男，50岁)被当场控制，伤者及时送医治疗，无生命危险。目前，案件正在进一步调查中。（海淀公安）,,,
,吉林北山公园伤人案,2024-06-10,伤人事件,#吉林公安通报北山公园伤人案#,央视新闻,新闻媒体 ,#吉林公安通报北山公园伤人案#,https://weibo.com/2656274875/OiwqmCQTh?refer_flag=1001030103_,542转 1437评 8105赞,今天下午，吉林市公安局船营分局发布警情通报：6月10日11时49分，吉林市船营区北山公园发生伤人案件。属地派出所民警迅速赶到现场，第一时间将伤者送医救治，迅速抓捕犯罪嫌疑人。经查，崔某某（男，55岁，吉林市龙潭区人）在北山公园走路时与一名外籍人士发生碰撞，遂持刀刺伤该外籍人士和三名同行外籍人士，以及上前阻止其行凶的一名中国籍游客。犯罪嫌疑人崔某某当日被抓获。经了解，四名外籍人士来自美国爱荷华州康奈尔学院，受邀在北华大学授课。目前，伤者均得到妥善医治，无生命危险。案件侦办等相关工作正在进一步开展中。,"什么人出门会随身携带刀啊？

谁出门带刀，概率比较低了，还是老外，概率也低吧，还有老外背景这么凑巧又不是那么简单。所以这么多小概率事件一起。不预谋都不信。",,
,,,,吉林砍人案凶手被捕！警告诉伤者：他失业，最近比较倒霉,ETtoday新闻云,新闻媒体 ,#吉林公安通报北山公园伤人案# #吉林4名外籍人员被刺伤# ,https://weibo.com/2342024544/OiDCkpSHX?refer_flag=1001030103_,66转 133评 468赞,吉林北山公园10日发生砍人事件，受害者为4名美国籍教师，及一名上前阻止的大陆游客。其中一名伤者David Zabner在接受美国媒体采访时表示，当地警方告诉他，55岁的凶手崔大鹏是一名失业人士，最近比较倒霉：「我们当中有人与他发生碰撞，可能因此惹怒了他。」另外，吉林市公安局11日晚间也发出公告，称已逮捕嫌疑人崔大鹏。,"经济发展才是最大的社会治安的保证，经济下行，一切牛鬼蛇神都出来了。现在还有义和团的前兆

崔大鹏逛公园为什么带刀？而且是管制刀具

这样的事、发生在中国感觉是那么的违和、发生在美国感觉是那么的自然",,
,上海松江男子超市持刀伤人,2024-09-30,伤人 持刀 伤害,上海松江警方：男子超市内持刀伤人，3死15伤,凤凰网,新闻媒体 ,无,https://weibo.com/2615417307/OzrIuFRWK?refer_flag=1001030103_,2101转 1793评 1.8万,"2024年9月30日21时47分，松江公安分局接报警称，松汇中路某超市内有一男子持刀伤人。

接报后，民警迅速到场，犯罪嫌疑人林某某(男，37岁) 被当场抓获，18名受伤人员马上送医救治，其中3名伤者抢救无效死亡，其余伤者无生命危险。

据初步侦查，林某某因个人经济纠纷，来沪泄愤实施上述行为。案件在进一步侦办中。","丧心病狂的凶手，被抓的视频还在笑…

受伤的人里还有孩子，只能说已经丧失人性了
",,
,珠海男子驾驶汽车撞倒多名行人,11/11/2024,撞人 逃逸,珠海警方通报一男子驾驶汽车撞倒多名行人，体育中心通告：即刻起暂停开放,羊城晚报,新闻媒体 ,无,https://weibo.com/1497087080/OFO2PxnEU,131转 97赞 600评," 11月11日晚，珠海公安通报：2024年11月11日19时48分许，一辆小汽车在珠海市香洲区体育中心撞倒多名行人后驾车逃逸。警方接报后迅速派员到场处置，并协助将伤者送往医院救治。

目前，司机樊某(男，62岁)已被警方控制，相关调查处置工作正在加紧进行中。

珠海市体育中心11月11日通告：珠海市体育中心即刻起暂停开放，恢复开放时间待定。（综合珠海公安、珠海市体育中心",62了，自己跳海好过啦，干啥要连累别人...,,
