,incident,text,likes,topic_id,bert_label,theme,comment_id,manual_theme,mental_illness_mentioned,sentiment_toward_mi_defense,bert_correct,notes
128,2024年6月9日成都女子遇害案,不管什么理由的故意杀人都要偿命，过失致人死亡也要重判，这才是尊重生命，而不是保护凶犯,90,8,Death penalty arguments,Punishment & Justice,5170812009316378,Punishment & Justice,no,n/a,yes,
129,景德镇一家三口被撞,不合理！！为什么是死缓？不是死刑？？,42,8,Death penalty arguments,Punishment & Justice,5253109324449537,Punishment & Justice,no,n/a,yes,
130,湖北恩施涉校刑事案件,惩罚不可饶恕之罪，便是死刑存在的意义,26,8,Death penalty arguments,Punishment & Justice,4454233958613066,Punishment & Justice,no,n/a,yes,
131,无锡职业技术学院持刀伤人,这个死刑是枪决还是注射死刑？,6,8,Death penalty arguments,Punishment & Justice,5124907119414276,Punishment & Justice,no,n/a,yes,
132,景德镇一家三口被撞,一家三口都没有了，必须严惩！,640,9,Retributive anger,Punishment & Justice,5253115976615127,Punishment & Justice,no,n/a,yes,
133,湖北恩施涉校刑事案件,要是在美国已经凉了，毕竟枪击每一天,23,9,Retributive anger,Punishment & Justice,4412058315560535,Incident-Specific,no,n/a,no,"CORRECTED on self-check: this is the same comparative-country rhetorical move (China/incident vs. US) coded as Incident-Specific in rows 35-37 — originally left inconsistently under Punishment & Justice"
134,江西一男子幼儿园行凶,这种人永远只会找弱小下手,14,9,Retributive anger,Punishment & Justice,4798451168581606,Punishment & Justice,no,n/a,yes,
135,上海瑞金医院持刀砍人案,他怎么不砍自己家的人,11,9,Retributive anger,Punishment & Justice,4961484847973809,Punishment & Justice,no,n/a,yes,
136,广西梧州旺甫小学保安持刀伤人,伤心病狂，这种人必须重判,9,9,Retributive anger,Punishment & Justice,4512069045053814,Punishment & Justice,no,n/a,yes,
137,江西一男子幼儿园行凶,只敢对弱小幼崽下手的懦弱男,8,9,Retributive anger,Punishment & Justice,4798469221649503,Punishment & Justice,no,n/a,yes,
138,贵溪小学持刀伤人,希望这种恶性犯罪，一是对凶手都能从速判决、从速枪毙；二是深挖背后的矛盾堵点，以期完善我们的社会治理工作，让悲剧不再发生。,2187,11,Legal system will prevail,Punishment & Justice,5036153936281887,Punishment & Justice,no,n/a,yes,
139,无锡职业技术学院持刀伤人,法网恢恢，疏而不漏，犯罪分子终会受到应有的惩罚,69,11,Legal system will prevail,Punishment & Justice,5124918668690024,Punishment & Justice,no,n/a,yes,
140,湖北恩施涉校刑事案件,所以说不该留的人留下了，继续犯罪垃圾人早点处理。,55,11,Legal system will prevail,Punishment & Justice,4412404202894290,Punishment & Justice,no,n/a,yes,
141,广西梧州旺甫小学保安持刀伤人,凶手必须严惩重判,21,11,Legal system will prevail,Punishment & Justice,4512061034206063,Punishment & Justice,no,n/a,yes,
142,广西梧州旺甫小学保安持刀伤人,这种突发事件，最好的处置就是将罪犯尽快当场击毙!,9,11,Legal system will prevail,Punishment & Justice,4512063924065954,Punishment & Justice,no,n/a,yes,
143,2025年8月景区故意捅人事件,希望给一个合理的宣判,19540,12,Support for court verdicts,Punishment & Justice,5198892519393256,Punishment & Justice,no,n/a,yes,
144,湖北恩施涉校刑事案件,当时这个负责判刑9年的法官，请问你看到这条新闻做何感想,494,12,Support for court verdicts,Punishment & Justice,4412404823695923,Punishment & Justice,no,n/a,yes,
145,无锡职业技术学院持刀伤人,这才是正义的判决，这才是人民群众期盼的结果！,46,12,Support for court verdicts,Punishment & Justice,5124936077412153,Punishment & Justice,no,n/a,yes,
146,无锡职业技术学院持刀伤人,这判决好，就该判这个！,30,12,Support for court verdicts,Punishment & Justice,5124933416129582,Punishment & Justice,no,n/a,yes,
147,红谷滩杀人事件,这TM还留着干嘛？？？,327,13,Execute immediately,Punishment & Justice,4398600400128177,Punishment & Justice,no,n/a,yes,
148,北京密云撞人,操作不当？？？qnm呢,40,13,Execute immediately,Punishment & Justice,5182142595205318,Media & Info Control,no,n/a,no,Anger at the official notice's '操作不当' (improper operation) framing rather than an execute-immediately sentiment
149,德州男子故意冲撞,希望孩子们平安🙏🏻,29,13,Execute immediately,Punishment & Justice,5007204203892337,Child Victims,no,n/a,no,"Expresses concern for children's safety, not an execution call"
150,贵溪小学持刀伤人,法律必将严惩一切犯罪行为！,30,19,Praise for law enforcement,Punishment & Justice,5036160694883079,Punishment & Justice,no,n/a,yes,
